,horizon,lookback,MarketFactor,lags,gamma,memory_size,batch_size,n_steps,gae_lambda,gradient_clip_,epochs,score
0,14,225,True,7,0.98,512,16,128,0.97,1.0,5,1373.7411082719389
1,10,730,False,30,0.97,2000,32,128,0.96,0.5,5,1357.801556920503
2,14,365,False,5,0.9,32,16,32,0.96,2.0,3,1339.9553176727272
3,10,365,True,5,0.92,64,16,64,0.98,0.5,3,1334.842014437118
4,14,365,True,14,0.5,2000,32,32,0.96,1.0,3,1328.9544750049497
5,14,730,False,5,0.95,2000,32,128,0.96,5.0,3,1300.0180299367096
6,4,225,False,7,0.5,64,32,10,0.96,1.0,5,1277.734009066034
7,4,365,False,7,0.92,2000,32,20,0.98,10.0,3,1258.0896568353603
8,12,730,False,20,0.7,2000,16,5,0.97,1.0,3,1256.411803494051
9,14,225,False,14,0.98,512,32,32,0.98,0.5,5,1256.4108887783245
